rule_id,issue_type,priority,rule_text,dataset_version
RUL-034,HVAC,High,Society Rule 34 for HVAC: mandated priority High. Response SLA 8 hours. Escalation path: duty manager → facility head → RWA president. Penalty clause applies after SLA breach. Repeat violations within 7 days upgrade priority. Residents must allow access to utility shafts. Night curfew 22:00–06:00 applies except emergencies. Document photographic evidence before and after repair.,v1.0.0
RUL-035,Lift,Emergency,Society Rule 35 for Lift: mandated priority Emergency. Response SLA 2 hours. Escalation path: duty manager → facility head → RWA president. Penalty clause applies after SLA breach. Repeat violations within 7 days upgrade priority. Residents must allow access to utility shafts. Night curfew 22:00–06:00 applies except emergencies. Document photographic evidence before and after repair.,v1.0.0
RUL-036,Parking,Low,Society Rule 36 for Parking: mandated priority Low. Response SLA 72 hours. Escalation path: duty manager → facility head → RWA president. Penalty clause applies after SLA breach. Repeat violations within 7 days upgrade priority. Residents must allow access to utility shafts. Night curfew 22:00–06:00 applies except emergencies. Document photographic evidence before and after repair.,v1.0.0
RUL-037,Security,Emergency,Society Rule 37 for Security: mandated priority Emergency. Response SLA 2 hours. Escalation path: duty manager → facility head → RWA president. Penalty clause applies after SLA breach. Repeat violations within 7 days upgrade priority. Residents must allow access to utility shafts. Night curfew 22:00–06:00 applies except emergencies. Document photographic evidence before and after repair.,v1.0.0
RUL-038,Fire Safety,Emergency,Society Rule 38 for Fire Safety: mandated priority Emergency. Response SLA 2 hours. Escalation path: duty manager → facility head → RWA president. Penalty clause applies after SLA breach. Repeat violations within 7 days upgrade priority. Residents must allow access to utility shafts. Night curfew 22:00–06:00 applies except emergencies. Document photographic evidence before and after repair.,v1.0.0
RUL-039,Water Supply,,Society Rule 39 for Water Supply: mandated priority High. Response SLA 8 hours. Escalation path: duty manager → facility head → RWA president. Penalty clause applies after SLA breach. Repeat violations within 7 days upgrade priority. Residents must allow access to utility shafts. Night curfew 22:00–06:00 applies except emergencies. Document photographic evidence before and after repair.,v1.0.0
RUL-040,Noise,Low,Society Rule 40 for Noise: mandated priority Low. Response SLA 72 hours. Escalation path: duty manager → facility head → RWA president. Penalty clause applies after SLA breach. Repeat violations within 7 days upgrade priority. Residents must allow access to utility shafts. Night curfew 22:00–06:00 applies except emergencies. Document photographic evidence before and after repair.,v1.0.0
RUL-041,Plumbing,High,Society Rule 41 for Plumbing: mandated priority High. Response SLA 8 hours. Escalation path: duty manager → facility head → RWA president. Penalty clause applies after SLA breach. Repeat violations within 7 days upgrade priority. Residents must allow access to utility shafts. Night curfew 22:00–06:00 applies except emergencies. Document photographic evidence before and after repair.,v1.0.0
RUL-042,Water Leakage,High,Society Rule 42 for Water Leakage: mandated priority High. Response SLA 8 hours. Escalation path: duty manager → facility head → RWA president. Penalty clause applies after SLA breach. Repeat violations within 7 days upgrade priority. Residents must allow access to utility shafts. Night curfew 22:00–06:00 applies except emergencies. Document photographic evidence before and after repair.,v1.0.0
RUL-043,Electrical,Medium,Society Rule 43 for Electrical: mandated priority Medium. Response SLA 24 hours. Escalation path: duty manager → facility head → RWA president. Penalty clause applies after SLA breach. Repeat violations within 7 days upgrade priority. Residents must allow access to utility shafts. Night curfew 22:00–06:00 applies except emergencies. Document photographic evidence before and after repair.,v1.0.0
RUL-044,HVAC,Emergency,Society Rule 44 for HVAC: mandated priority Emergency. Response SLA 2 hours. Escalation path: duty manager → facility head → RWA president. Penalty clause applies after SLA breach. Repeat violations within 7 days upgrade priority. Residents must allow access to utility shafts. Night curfew 22:00–06:00 applies except emergencies. Document photographic evidence before and after repair.,v1.0.0
RUL-045,Lift,Emergency,Society Rule 45 for Lift: mandated priority Emergency. Response SLA 2 hours. Escalation path: duty manager → facility head → RWA president. Penalty clause applies after SLA breach. Repeat violations within 7 days upgrade priority. Residents must allow access to utility shafts. Night curfew 22:00–06:00 applies except emergencies. Document photographic evidence before and after repair.,v1.0.0
RUL-046,Parking,Low,Society Rule 46 for Parking: mandated priority Low. Response SLA 72 hours. Escalation path: duty manager → facility head → RWA president. Penalty clause applies after SLA breach. Repeat violations within 7 days upgrade priority. Residents must allow access to utility shafts. Night curfew 22:00–06:00 applies except emergencies. Document photographic evidence before and after repair.,v1.0.0
RUL-047,Security,High,Society Rule 47 for Security: mandated priority High. Response SLA 8 hours. Escalation path: duty manager → facility head → RWA president. Penalty clause applies after SLA breach. Repeat violations within 7 days upgrade priority. Residents must allow access to utility shafts. Night curfew 22:00–06:00 applies except emergencies. Document photographic evidence before and after repair.,v1.0.0
RUL-048,Fire Safety,High,Society Rule 48 for Fire Safety: mandated priority High. Response SLA 8 hours. Escalation path: duty manager → facility head → RWA president. Penalty clause applies after SLA breach. Repeat violations within 7 days upgrade priority. Residents must allow access to utility shafts. Night curfew 22:00–06:00 applies except emergencies. Document photographic evidence before and after repair.,v1.0.0
RUL-049,Water Supply,Low,Society Rule 49 for Water Supply: mandated priority Low. Response SLA 72 hours. Escalation path: duty manager → facility head → RWA president. Penalty clause applies after SLA breach. Repeat violations within 7 days upgrade priority. Residents must allow access to utility shafts. Night curfew 22:00–06:00 applies except emergencies. Document photographic evidence before and after repair.,v1.0.0
RUL-050,Noise,Low,Society Rule 50 for Noise: mandated priority Low. Response SLA 72 hours. Escalation path: duty manager → facility head → RWA president. Penalty clause applies after SLA breach. Repeat violations within 7 days upgrade priority. Residents must allow access to utility shafts. Night curfew 22:00–06:00 applies except emergencies. Document photographic evidence before and after repair.,v1.0.0
RUL-051,Plumbing,Medium,Society Rule 51 for Plumbing: mandated priority Medium. Response SLA 24 hours. Escalation path: duty manager → facility head → RWA president. Penalty clause applies after SLA breach. Repeat violations within 7 days upgrade priority. Residents must allow access to utility shafts. Night curfew 22:00–06:00 applies except emergencies. Document photographic evidence before and after repair.,v1.0.0
RUL-052,Water Leakage,High,Society Rule 52 for Water Leakage: mandated priority High. Response SLA 8 hours. Escalation path: duty manager → facility head → RWA president. Penalty clause applies after SLA breach. Repeat violations within 7 days upgrade priority. Residents must allow access to utility shafts. Night curfew 22:00–06:00 applies except emergencies. Document photographic evidence before and after repair.,v1.0.0
RUL-053,Electrical,High,Society Rule 53 for Electrical: mandated priority High. Response SLA 8 hours. Escalation path: duty manager → facility head → RWA president. Penalty clause applies after SLA breach. Repeat violations within 7 days upgrade priority. Residents must allow access to utility shafts. Night curfew 22:00–06:00 applies except emergencies. Document photographic evidence before and after repair.,v1.0.0
RUL-054,HVAC,Low,Society Rule 54 for HVAC: mandated priority Low. Response SLA 72 hours. Escalation path: duty manager → facility head → RWA president. Penalty clause applies after SLA breach. Repeat violations within 7 days upgrade priority. Residents must allow access to utility shafts. Night curfew 22:00–06:00 applies except emergencies. Document photographic evidence before and after repair.,v1.0.0
RUL-055,Lift,High,Society Rule 55 for Lift: mandated priority High. Response SLA 8 hours. Escalation path: duty manager → facility head → RWA president. Penalty clause applies after SLA breach. Repeat violations within 7 days upgrade priority. Residents must allow access to utility shafts. Night curfew 22:00–06:00 applies except emergencies. Document photographic evidence before and after repair.,v1.0.0
RUL-056,Parking,Medium,Society Rule 56 for Parking: mandated priority Medium. Response SLA 24 hours. Escalation path: duty manager → facility head → RWA president. Penalty clause applies after SLA breach. Repeat violations within 7 days upgrade priority. Residents must allow access to utility shafts. Night curfew 22:00–06:00 applies except emergencies. Document photographic evidence before and after repair.,v1.0.0
RUL-057,Security,Medium,Society Rule 57 for Security: mandated priority Medium. Response SLA 24 hours. Escalation path: duty manager → facility head → RWA president. Penalty clause applies after SLA breach. Repeat violations within 7 days upgrade priority. Residents must allow access to utility shafts. Night curfew 22:00–06:00 applies except emergencies. Document photographic evidence before and after repair.,v1.0.0
RUL-058,Fire Safety,High,Society Rule 58 for Fire Safety: mandated priority High. Response SLA 8 hours. Escalation path: duty manager → facility head → RWA president. Penalty clause applies after SLA breach. Repeat violations within 7 days upgrade priority. Residents must allow access to utility shafts. Night curfew 22:00–06:00 applies except emergencies. Document photographic evidence before and after repair.,v1.0.0
RUL-059,Water Supply,High,Society Rule 59 for Water Supply: mandated priority High. Response SLA 8 hours. Escalation path: duty manager → facility head → RWA president. Penalty clause applies after SLA breach. Repeat violations within 7 days upgrade priority. Residents must allow access to utility shafts. Night curfew 22:00–06:00 applies except emergencies. Document photographic evidence before and after repair.,v1.0.0
RUL-060,Noise,Medium,Society Rule 60 for Noise: mandated priority Medium. Response SLA 24 hours. Escalation path: duty manager → facility head → RWA president. Penalty clause applies after SLA breach. Repeat violations within 7 days upgrade priority. Residents must allow access to utility shafts. Night curfew 22:00–06:00 applies except emergencies. Document photographic evidence before and after repair.,v1.0.0
RUL-061,Plumbing,Medium,Society Rule 61 for Plumbing: mandated priority Medium. Response SLA 24 hours. Escalation path: duty manager → facility head → RWA president. Penalty clause applies after SLA breach. Repeat violations within 7 days upgrade priority. Residents must allow access to utility shafts. Night curfew 22:00–06:00 applies except emergencies. Document photographic evidence before and after repair.,v1.0.0
RUL-062,Water Leakage,Emergency,Society Rule 62 for Water Leakage: mandated priority Emergency. Response SLA 2 hours. Escalation path: duty manager → facility head → RWA president. Penalty clause applies after SLA breach. Repeat violations within 7 days upgrade priority. Residents must allow access to utility shafts. Night curfew 22:00–06:00 applies except emergencies. Document photographic evidence before and after repair.,v1.0.0
RUL-063,Electrical,High,Society Rule 63 for Electrical: mandated priority High. Response SLA 8 hours. Escalation path: duty manager → facility head → RWA president. Penalty clause applies after SLA breach. Repeat violations within 7 days upgrade priority. Residents must allow access to utility shafts. Night curfew 22:00–06:00 applies except emergencies. Document photographic evidence before and after repair.,v1.0.0
RUL-064,HVAC,Emergency,Society Rule 64 for HVAC: mandated priority Emergency. Response SLA 2 hours. Escalation path: duty manager → facility head → RWA president. Penalty clause applies after SLA breach. Repeat violations within 7 days upgrade priority. Residents must allow access to utility shafts. Night curfew 22:00–06:00 applies except emergencies. Document photographic evidence before and after repair.,v1.0.0
RUL-065,Lift,,Society Rule 65 for Lift: mandated priority High. Response SLA 8 hours. Escalation path: duty manager → facility head → RWA president. Penalty clause applies after SLA breach. Repeat violations within 7 days upgrade priority. Residents must allow access to utility shafts. Night curfew 22:00–06:00 applies except emergencies. Document photographic evidence before and after repair.,v1.0.0
RUL-066,Parking,Medium,Society Rule 66 for Parking: mandated priority Medium. Response SLA 24 hours. Escalation path: duty manager → facility head → RWA president. Penalty clause applies after SLA breach. Repeat violations within 7 days upgrade priority. Residents must allow access to utility shafts. Night curfew 22:00–06:00 applies except emergencies. Document photographic evidence before and after repair.,v1.0.0
RUL-067,Security,Emergency,Society Rule 67 for Security: mandated priority Emergency. Response SLA 2 hours. Escalation path: duty manager → facility head → RWA president. Penalty clause applies after SLA breach. Repeat violations within 7 days upgrade priority. Residents must allow access to utility shafts. Night curfew 22:00–06:00 applies except emergencies. Document photographic evidence before and after repair.,v1.0.0
RUL-068,Fire Safety,High,Society Rule 68 for Fire Safety: mandated priority High. Response SLA 8 hours. Escalation path: duty manager → facility head → RWA president. Penalty clause applies after SLA breach. Repeat violations within 7 days upgrade priority. Residents must allow access to utility shafts. Night curfew 22:00–06:00 applies except emergencies. Document photographic evidence before and after repair.,v1.0.0
RUL-069,Water Supply,Medium,Society Rule 69 for Water Supply: mandated priority Medium. Response SLA 24 hours. Escalation path: duty manager → facility head → RWA president. Penalty clause applies after SLA breach. Repeat violations within 7 days upgrade priority. Residents must allow access to utility shafts. Night curfew 22:00–06:00 applies except emergencies. Document photographic evidence before and after repair.,v1.0.0
RUL-070,Noise,Low,Society Rule 70 for Noise: mandated priority Low. Response SLA 72 hours. Escalation path: duty manager → facility head → RWA president. Penalty clause applies after SLA breach. Repeat violations within 7 days upgrade priority. Residents must allow access to utility shafts. Night curfew 22:00–06:00 applies except emergencies. Document photographic evidence before and after repair.,v1.0.0
RUL-071,Plumbing,Medium,Society Rule 71 for Plumbing: mandated priority Medium. Response SLA 24 hours. Escalation path: duty manager → facility head → RWA president. Penalty clause applies after SLA breach. Repeat violations within 7 days upgrade priority. Residents must allow access to utility shafts. Night curfew 22:00–06:00 applies except emergencies. Document photographic evidence before and after repair.,v1.0.0
RUL-072,Water Leakage,High,Society Rule 72 for Water Leakage: mandated priority High. Response SLA 8 hours. Escalation path: duty manager → facility head → RWA president. Penalty clause applies after SLA breach. Repeat violations within 7 days upgrade priority. Residents must allow access to utility shafts. Night curfew 22:00–06:00 applies except emergencies. Document photographic evidence before and after repair.,v1.0.0
RUL-073,Electrical,High,Society Rule 73 for Electrical: mandated priority High. Response SLA 8 hours. Escalation path: duty manager → facility head → RWA president. Penalty clause applies after SLA breach. Repeat violations within 7 days upgrade priority. Residents must allow access to utility shafts. Night curfew 22:00–06:00 applies except emergencies. Document photographic evidence before and after repair.,v1.0.0
RUL-074,HVAC,Low,Society Rule 74 for HVAC: mandated priority Low. Response SLA 72 hours. Escalation path: duty manager → facility head → RWA president. Penalty clause applies after SLA breach. Repeat violations within 7 days upgrade priority. Residents must allow access to utility shafts. Night curfew 22:00–06:00 applies except emergencies. Document photographic evidence before and after repair.,v1.0.0
RUL-075,Lift,Emergency,Society Rule 75 for Lift: mandated priority Emergency. Response SLA 2 hours. Escalation path: duty manager → facility head → RWA president. Penalty clause applies after SLA breach. Repeat violations within 7 days upgrade priority. Residents must allow access to utility shafts. Night curfew 22:00–06:00 applies except emergencies. Document photographic evidence before and after repair.,v1.0.0
