rule_id,issue_type,priority,rule_text,dataset_version
rul-037,security,emergency,society rule 37 for security: mandated priority emergency. response sla 2 hours. escalation path: duty manager → facility head → rwa president. penalty clause applies after sla breach. repeat violations within 7 days upgrade priority. residents must allow access to utility shafts. night curfew 22:00–06:00 applies except emergencies. document photographic evidence before and after repair.,v1.0.0
rul-038,fire safety,emergency,society rule 38 for fire safety: mandated priority emergency. response sla 2 hours. escalation path: duty manager → facility head → rwa president. penalty clause applies after sla breach. repeat violations within 7 days upgrade priority. residents must allow access to utility shafts. night curfew 22:00–06:00 applies except emergencies. document photographic evidence before and after repair.,v1.0.0
rul-039,water supply,high,society rule 39 for water supply: mandated priority high. response sla 8 hours. escalation path: duty manager → facility head → rwa president. penalty clause applies after sla breach. repeat violations within 7 days upgrade priority. residents must allow access to utility shafts. night curfew 22:00–06:00 applies except emergencies. document photographic evidence before and after repair.,v1.0.0
rul-040,noise,low,society rule 40 for noise: mandated priority low. response sla 72 hours. escalation path: duty manager → facility head → rwa president. penalty clause applies after sla breach. repeat violations within 7 days upgrade priority. residents must allow access to utility shafts. night curfew 22:00–06:00 applies except emergencies. document photographic evidence before and after repair.,v1.0.0
rul-041,plumbing,high,society rule 41 for plumbing: mandated priority high. response sla 8 hours. escalation path: duty manager → facility head → rwa president. penalty clause applies after sla breach. repeat violations within 7 days upgrade priority. residents must allow access to utility shafts. night curfew 22:00–06:00 applies except emergencies. document photographic evidence before and after repair.,v1.0.0
rul-042,water leakage,high,society rule 42 for water leakage: mandated priority high. response sla 8 hours. escalation path: duty manager → facility head → rwa president. penalty clause applies after sla breach. repeat violations within 7 days upgrade priority. residents must allow access to utility shafts. night curfew 22:00–06:00 applies except emergencies. document photographic evidence before and after repair.,v1.0.0
rul-043,electrical,medium,society rule 43 for electrical: mandated priority medium. response sla 24 hours. escalation path: duty manager → facility head → rwa president. penalty clause applies after sla breach. repeat violations within 7 days upgrade priority. residents must allow access to utility shafts. night curfew 22:00–06:00 applies except emergencies. document photographic evidence before and after repair.,v1.0.0
rul-044,hvac,emergency,society rule 44 for hvac: mandated priority emergency. response sla 2 hours. escalation path: duty manager → facility head → rwa president. penalty clause applies after sla breach. repeat violations within 7 days upgrade priority. residents must allow access to utility shafts. night curfew 22:00–06:00 applies except emergencies. document photographic evidence before and after repair.,v1.0.0
rul-045,lift,emergency,society rule 45 for lift: mandated priority emergency. response sla 2 hours. escalation path: duty manager → facility head → rwa president. penalty clause applies after sla breach. repeat violations within 7 days upgrade priority. residents must allow access to utility shafts. night curfew 22:00–06:00 applies except emergencies. document photographic evidence before and after repair.,v1.0.0
rul-046,parking,low,society rule 46 for parking: mandated priority low. response sla 72 hours. escalation path: duty manager → facility head → rwa president. penalty clause applies after sla breach. repeat violations within 7 days upgrade priority. residents must allow access to utility shafts. night curfew 22:00–06:00 applies except emergencies. document photographic evidence before and after repair.,v1.0.0
rul-047,security,high,society rule 47 for security: mandated priority high. response sla 8 hours. escalation path: duty manager → facility head → rwa president. penalty clause applies after sla breach. repeat violations within 7 days upgrade priority. residents must allow access to utility shafts. night curfew 22:00–06:00 applies except emergencies. document photographic evidence before and after repair.,v1.0.0
rul-048,fire safety,high,society rule 48 for fire safety: mandated priority high. response sla 8 hours. escalation path: duty manager → facility head → rwa president. penalty clause applies after sla breach. repeat violations within 7 days upgrade priority. residents must allow access to utility shafts. night curfew 22:00–06:00 applies except emergencies. document photographic evidence before and after repair.,v1.0.0
rul-049,water supply,low,society rule 49 for water supply: mandated priority low. response sla 72 hours. escalation path: duty manager → facility head → rwa president. penalty clause applies after sla breach. repeat violations within 7 days upgrade priority. residents must allow access to utility shafts. night curfew 22:00–06:00 applies except emergencies. document photographic evidence before and after repair.,v1.0.0
rul-050,noise,low,society rule 50 for noise: mandated priority low. response sla 72 hours. escalation path: duty manager → facility head → rwa president. penalty clause applies after sla breach. repeat violations within 7 days upgrade priority. residents must allow access to utility shafts. night curfew 22:00–06:00 applies except emergencies. document photographic evidence before and after repair.,v1.0.0
rul-051,plumbing,medium,society rule 51 for plumbing: mandated priority medium. response sla 24 hours. escalation path: duty manager → facility head → rwa president. penalty clause applies after sla breach. repeat violations within 7 days upgrade priority. residents must allow access to utility shafts. night curfew 22:00–06:00 applies except emergencies. document photographic evidence before and after repair.,v1.0.0
rul-052,water leakage,high,society rule 52 for water leakage: mandated priority high. response sla 8 hours. escalation path: duty manager → facility head → rwa president. penalty clause applies after sla breach. repeat violations within 7 days upgrade priority. residents must allow access to utility shafts. night curfew 22:00–06:00 applies except emergencies. document photographic evidence before and after repair.,v1.0.0
rul-053,electrical,high,society rule 53 for electrical: mandated priority high. response sla 8 hours. escalation path: duty manager → facility head → rwa president. penalty clause applies after sla breach. repeat violations within 7 days upgrade priority. residents must allow access to utility shafts. night curfew 22:00–06:00 applies except emergencies. document photographic evidence before and after repair.,v1.0.0
rul-054,hvac,low,society rule 54 for hvac: mandated priority low. response sla 72 hours. escalation path: duty manager → facility head → rwa president. penalty clause applies after sla breach. repeat violations within 7 days upgrade priority. residents must allow access to utility shafts. night curfew 22:00–06:00 applies except emergencies. document photographic evidence before and after repair.,v1.0.0
rul-055,lift,high,society rule 55 for lift: mandated priority high. response sla 8 hours. escalation path: duty manager → facility head → rwa president. penalty clause applies after sla breach. repeat violations within 7 days upgrade priority. residents must allow access to utility shafts. night curfew 22:00–06:00 applies except emergencies. document photographic evidence before and after repair.,v1.0.0
rul-056,parking,medium,society rule 56 for parking: mandated priority medium. response sla 24 hours. escalation path: duty manager → facility head → rwa president. penalty clause applies after sla breach. repeat violations within 7 days upgrade priority. residents must allow access to utility shafts. night curfew 22:00–06:00 applies except emergencies. document photographic evidence before and after repair.,v1.0.0
rul-057,security,medium,society rule 57 for security: mandated priority medium. response sla 24 hours. escalation path: duty manager → facility head → rwa president. penalty clause applies after sla breach. repeat violations within 7 days upgrade priority. residents must allow access to utility shafts. night curfew 22:00–06:00 applies except emergencies. document photographic evidence before and after repair.,v1.0.0
rul-058,fire safety,high,society rule 58 for fire safety: mandated priority high. response sla 8 hours. escalation path: duty manager → facility head → rwa president. penalty clause applies after sla breach. repeat violations within 7 days upgrade priority. residents must allow access to utility shafts. night curfew 22:00–06:00 applies except emergencies. document photographic evidence before and after repair.,v1.0.0
rul-059,water supply,high,society rule 59 for water supply: mandated priority high. response sla 8 hours. escalation path: duty manager → facility head → rwa president. penalty clause applies after sla breach. repeat violations within 7 days upgrade priority. residents must allow access to utility shafts. night curfew 22:00–06:00 applies except emergencies. document photographic evidence before and after repair.,v1.0.0
rul-060,noise,medium,society rule 60 for noise: mandated priority medium. response sla 24 hours. escalation path: duty manager → facility head → rwa president. penalty clause applies after sla breach. repeat violations within 7 days upgrade priority. residents must allow access to utility shafts. night curfew 22:00–06:00 applies except emergencies. document photographic evidence before and after repair.,v1.0.0
rul-061,plumbing,medium,society rule 61 for plumbing: mandated priority medium. response sla 24 hours. escalation path: duty manager → facility head → rwa president. penalty clause applies after sla breach. repeat violations within 7 days upgrade priority. residents must allow access to utility shafts. night curfew 22:00–06:00 applies except emergencies. document photographic evidence before and after repair.,v1.0.0
rul-062,water leakage,emergency,society rule 62 for water leakage: mandated priority emergency. response sla 2 hours. escalation path: duty manager → facility head → rwa president. penalty clause applies after sla breach. repeat violations within 7 days upgrade priority. residents must allow access to utility shafts. night curfew 22:00–06:00 applies except emergencies. document photographic evidence before and after repair.,v1.0.0
rul-063,electrical,high,society rule 63 for electrical: mandated priority high. response sla 8 hours. escalation path: duty manager → facility head → rwa president. penalty clause applies after sla breach. repeat violations within 7 days upgrade priority. residents must allow access to utility shafts. night curfew 22:00–06:00 applies except emergencies. document photographic evidence before and after repair.,v1.0.0
rul-064,hvac,emergency,society rule 64 for hvac: mandated priority emergency. response sla 2 hours. escalation path: duty manager → facility head → rwa president. penalty clause applies after sla breach. repeat violations within 7 days upgrade priority. residents must allow access to utility shafts. night curfew 22:00–06:00 applies except emergencies. document photographic evidence before and after repair.,v1.0.0
rul-065,lift,high,society rule 65 for lift: mandated priority high. response sla 8 hours. escalation path: duty manager → facility head → rwa president. penalty clause applies after sla breach. repeat violations within 7 days upgrade priority. residents must allow access to utility shafts. night curfew 22:00–06:00 applies except emergencies. document photographic evidence before and after repair.,v1.0.0
rul-066,parking,medium,society rule 66 for parking: mandated priority medium. response sla 24 hours. escalation path: duty manager → facility head → rwa president. penalty clause applies after sla breach. repeat violations within 7 days upgrade priority. residents must allow access to utility shafts. night curfew 22:00–06:00 applies except emergencies. document photographic evidence before and after repair.,v1.0.0
rul-067,security,emergency,society rule 67 for security: mandated priority emergency. response sla 2 hours. escalation path: duty manager → facility head → rwa president. penalty clause applies after sla breach. repeat violations within 7 days upgrade priority. residents must allow access to utility shafts. night curfew 22:00–06:00 applies except emergencies. document photographic evidence before and after repair.,v1.0.0
rul-068,fire safety,high,society rule 68 for fire safety: mandated priority high. response sla 8 hours. escalation path: duty manager → facility head → rwa president. penalty clause applies after sla breach. repeat violations within 7 days upgrade priority. residents must allow access to utility shafts. night curfew 22:00–06:00 applies except emergencies. document photographic evidence before and after repair.,v1.0.0
rul-069,water supply,medium,society rule 69 for water supply: mandated priority medium. response sla 24 hours. escalation path: duty manager → facility head → rwa president. penalty clause applies after sla breach. repeat violations within 7 days upgrade priority. residents must allow access to utility shafts. night curfew 22:00–06:00 applies except emergencies. document photographic evidence before and after repair.,v1.0.0
rul-070,noise,low,society rule 70 for noise: mandated priority low. response sla 72 hours. escalation path: duty manager → facility head → rwa president. penalty clause applies after sla breach. repeat violations within 7 days upgrade priority. residents must allow access to utility shafts. night curfew 22:00–06:00 applies except emergencies. document photographic evidence before and after repair.,v1.0.0
rul-071,plumbing,medium,society rule 71 for plumbing: mandated priority medium. response sla 24 hours. escalation path: duty manager → facility head → rwa president. penalty clause applies after sla breach. repeat violations within 7 days upgrade priority. residents must allow access to utility shafts. night curfew 22:00–06:00 applies except emergencies. document photographic evidence before and after repair.,v1.0.0
rul-072,water leakage,high,society rule 72 for water leakage: mandated priority high. response sla 8 hours. escalation path: duty manager → facility head → rwa president. penalty clause applies after sla breach. repeat violations within 7 days upgrade priority. residents must allow access to utility shafts. night curfew 22:00–06:00 applies except emergencies. document photographic evidence before and after repair.,v1.0.0
rul-073,electrical,high,society rule 73 for electrical: mandated priority high. response sla 8 hours. escalation path: duty manager → facility head → rwa president. penalty clause applies after sla breach. repeat violations within 7 days upgrade priority. residents must allow access to utility shafts. night curfew 22:00–06:00 applies except emergencies. document photographic evidence before and after repair.,v1.0.0
rul-074,hvac,low,society rule 74 for hvac: mandated priority low. response sla 72 hours. escalation path: duty manager → facility head → rwa president. penalty clause applies after sla breach. repeat violations within 7 days upgrade priority. residents must allow access to utility shafts. night curfew 22:00–06:00 applies except emergencies. document photographic evidence before and after repair.,v1.0.0
rul-075,lift,emergency,society rule 75 for lift: mandated priority emergency. response sla 2 hours. escalation path: duty manager → facility head → rwa president. penalty clause applies after sla breach. repeat violations within 7 days upgrade priority. residents must allow access to utility shafts. night curfew 22:00–06:00 applies except emergencies. document photographic evidence before and after repair.,v1.0.0
